setting,test,strat,bin,n,acc_expr,acc_nbr,acc_smooth,gain_nbr,gain_smooth
WTDB->HU,HU1,hom_bin,0.4-0.6,5991,0.44082790852946085,0.4555166082457019,0.47537973627107327,0.014688699716241038,0.03455182774161242
WTDB->HU,HU1,hom_bin,0.6-0.8,2927,0.6064229586607448,0.6409292791253843,0.6658694909463615,0.03450632046463953,0.05944653228561669
WTDB->HU,HU1,hom_bin,0.8-1,749,0.7463284379172229,0.7930574098798397,0.8251001335113485,0.04672897196261683,0.07877169559412556
WTDB->HU,HU2,umi_bin,low,8994,0.3811429842116967,0.37903046475428065,0.3863686902379364,-0.002112519457416029,0.005225706026239729
WTDB->HU,HU2,umi_bin,mid,8982,0.38810955243820977,0.3940102427076375,0.39857492763304386,0.005900690269427744,0.010465375194834092
WTDB->HU,HU2,umi_bin,high,8981,0.4815722079946554,0.5010577886649593,0.5070704821289389,0.019485580670303926,0.025498274134283516
WTDB->HU,HU2,hom_bin,0-0.2,7801,0.30739648762979105,0.30252531726701704,0.28175874887834895,-0.004871170362774013,-0.025637738751442096
WTDB->HU,HU2,hom_bin,0.2-0.4,8029,0.34948312367667206,0.35147589986299665,0.34960767218831734,0.0019927761863245963,0.0001245485116452838
WTDB->HU,HU2,hom_bin,0.4-0.6,6189,0.4320568751009856,0.44255937954435287,0.4676038132169979,0.010502504443367255,0.03554693811601228
WTDB->HU,HU2,hom_bin,0.6-0.8,3483,0.629342520815389,0.6617858168245765,0.6976744186046512,0.032443296009187494,0.06833189778926219
WTDB->HU,HU2,hom_bin,0.8-1,1455,0.8034364261168385,0.8398625429553265,0.8797250859106529,0.036426116838487954,0.07628865979381438
