scheme,setting,train,test,model,seed,n_train,n_test,macro_f1,bal_acc,acc,f1_SPG,f1_SPC,f1_RS,f1_ES,f1_TubSom,f1_Interst,f1_Sertoli,f1_Myoid,f1_Leydig,f1_Endothelial,f1_Macrophage
germ4,DB->DB,DB2+DB3,DB1,nbr_k30,0,58073,21574,0.7225886812795045,0.7327433102718433,0.7503939927690739,0.6009699321047527,0.7165109034267912,0.7563726247489572,0.8165012648375171,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,nbr_only_k30,0,58073,21574,0.5756562483754594,0.5851188603206403,0.6108742004264393,0.4082934609250399,0.5534977246269447,0.6534245567571544,0.6874092511926986,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,expr_mlp,0,58073,21574,0.7136243223624281,0.7137663406041792,0.7503012885881153,0.559947586809347,0.7076327320900846,0.7670906791638771,0.8198262913864037,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,nbr_k15_mlp,0,58073,21574,0.7023303462301731,0.7005719690569401,0.7398720682302772,0.5522388059701493,0.6973322871714398,0.7478490039531819,0.8119012878259214,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,sage_k15,0,58073,21574,0.7224179998376214,0.7285737349547637,0.752897005654955,0.5907328026127782,0.7173647824318828,0.7609144430002294,0.8206599713055954,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,expr_mlp,1,58073,21574,0.7130359630229334,0.7175693272324339,0.7461759525354593,0.5755186721991701,0.697873206471965,0.7592550361079438,0.8194969373126547,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,nbr_k15_mlp,1,58073,21574,0.7040766787989252,0.7027375426596002,0.7417725039399277,0.5504370422867942,0.7010368115666318,0.7493428173805474,0.8154900439617274,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,sage_k15,1,58073,21574,0.7233430610976196,0.7294374120808995,0.754055807916937,0.5905463474524248,0.7181201255950572,0.7625822242618938,0.8221235470811022,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,expr_mlp,2,58073,21574,0.7128415076184741,0.7177895605680527,0.7454806711782701,0.5732191351577188,0.7041384799044966,0.7564719358533791,0.8175364795583016,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,nbr_k15_mlp,2,58073,21574,0.7070350430746337,0.7059282031168774,0.7447853898210809,0.550953932061424,0.7092459779026943,0.7522539878246127,0.8156862745098039,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,sage_k15,2,58073,21574,0.7213241628216268,0.7277993807745802,0.751738203392973,0.58945654386322,0.7165482233502538,0.7602393005062126,0.8190525835668209,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,expr,0,84926,31082,0.683939426398752,0.7550736372552372,0.7449971044334341,0.4549928560088903,0.7316078818951139,0.7123948925568359,0.8367620751341681,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,smooth_a0.25,0,84926,31082,0.7009283961815891,0.7652974430720012,0.7621452930956824,0.4852233676975945,0.7436292959832171,0.725167107103995,0.8496938139415496,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,smooth_a0.5,0,84926,31082,0.7115335728813252,0.7628980914057009,0.773405829740686,0.510184287099903,0.7501861504095308,0.7294837476099426,0.8562801064059242,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,smooth_a0.75,0,84926,31082,0.6726235741208286,0.6996909793304249,0.7488900328164211,0.4383170905633468,0.7174225836721927,0.6970808273434062,0.8376737949043687,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,smooth_a1.0,0,84926,31082,0.561425317361004,0.5773112848368324,0.6678141689723956,0.2395654659805603,0.612946514154259,0.6202665538396446,0.7729227354695519,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,nbr_k5,0,84926,31082,0.6954859490237838,0.767799544762634,0.7552281062994659,0.4729664687951227,0.7422503222638267,0.7226746006890072,0.8440524043471788,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,nbr_only_k5,0,84926,31082,0.609753762749971,0.6736480980849621,0.6714818866224824,0.3900414937759336,0.6252587991718427,0.6437177280550774,0.77999702999703,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,nbr_k15,0,84926,31082,0.695501906676282,0.7635513850123249,0.7562576410784376,0.4735533079091361,0.7455845505102976,0.7191151269668172,0.8437546413188771,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,nbr_only_k15,0,84926,31082,0.5773995457418502,0.6338030011958452,0.6424940480020591,0.3380024360535932,0.6042107885885137,0.6115102356122055,0.755874722713088,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,nbr_k30,0,84926,31082,0.6927654555214307,0.7584138164262302,0.7547455118718229,0.4647108130762783,0.7467397928092626,0.7181437218686947,0.8414674943314872,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,nbr_only_k30,0,84926,31082,0.5443165602898197,0.5930129385404018,0.6102567402355061,0.2857585139318885,0.5911121845187779,0.5822879891835049,0.7181075535251075,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,expr_mlp,0,84926,31082,0.6813895592930133,0.7396464739789359,0.7445145100057912,0.4618913196894848,0.7145654108573124,0.7100731304552961,0.8390283761699598,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,nbr_k15_mlp,0,84926,31082,0.6939246377123865,0.7357607252141558,0.7589601698732386,0.4834242551405791,0.7404126355053037,0.7085626911314985,0.843298969072165,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,sage_k15,0,84926,31082,0.6978795510896503,0.7631079540135968,0.7608583746219677,0.4693877551020408,0.7441000677799002,0.7273296789350039,0.850700702541656,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,expr_mlp,1,84926,31082,0.670790379718644,0.7380336875885614,0.7340582974068592,0.4312291302273811,0.7129310865494957,0.7073419709462112,0.8316593311514878,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,nbr_k15_mlp,1,84926,31082,0.6859368776309268,0.7419927911180177,0.7508204105269931,0.4590341833966359,0.7322541966426859,0.7114228456913828,0.8410362847930025,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,sage_k15,1,84926,31082,0.6931822269373142,0.7607707005146647,0.756418505887652,0.4587485704950171,0.7424364288807771,0.723781388478582,0.847762519894881,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,expr_mlp,2,84926,31082,0.6685172944208385,0.7357372597936399,0.7333504922463162,0.4235890932149651,0.7133296494136427,0.7037294417419504,0.8334209933127958,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,nbr_k15_mlp,2,84926,31082,0.6933853487928302,0.7373166055714849,0.7576089054758381,0.4836199836199836,0.7394627142195461,0.7083301106040684,0.8421285867277226,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB2,sage_k15,2,84926,31082,0.7009136342031074,0.7630282101686314,0.7633356926838685,0.4826624847534413,0.7421560249053839,0.7259964121363388,0.8528396150172655,,,,,,,
germ4,DB->DB,DB1+DB3,DB2,expr,0,48565,31082,0.6932594465740431,0.760722651367597,0.752782961199408,0.4814498204821337,0.7336002463812751,0.7172906067279217,0.8406971127048419,,,,,,,
germ4,DB->DB,DB1+DB3,DB2,smooth_a0.25,0,48565,31082,0.7095985357492001,0.7702232857997628,0.7679042532655557,0.5143385753931545,0.7471809723334771,0.7260790824026562,0.8507955128675123,,,,,,,
germ4,DB->DB,DB1+DB3,DB2,smooth_a0.5,0,48565,31082,0.7196523166185591,0.767033198676536,0.7774596229328872,0.540472704455135,0.7551286024171057,0.7270711699061414,0.8559367896958545,,,,,,,
germ4,DB->DB,DB1+DB3,DB2,smooth_a0.75,0,48565,31082,0.6752822963302075,0.6960913322452646,0.7494369731677498,0.4565743479429954,0.7215568862275449,0.6878596491228071,0.8351383020274828,,,,,,,
